Group_ID,Component,Score,Feedback
Rokers,Slides given to workshop leader in good time,5,"Before the module even started, WOW"
Rokers,Presentation is of appropriate length,1,"Three hours is too much"
Rokers,Clarity of slides,5,"Very clear, well done!"
Rokers,Clarity of speech,3,"Some group members spoke so quietly it was hard to hear what was said. We got the main points, though."
Rokers,Big picture overview,5,You were super clear on the big picture - well done!
Rokers,Introducing the specific question and hypotheses,3,"Although the slides were clear, the presenter made a couple of errors, which caused some temporary confusion."
Rokers,Description of methodology,5, Everything we needed to know was here - well done!
Rokers,Description of results,3,The presenter seemed a bit unclear on how to interpret a Bayes Factor.
Rokers,Interpretation of results,5," Very clear, well done!"
Rokers,Discussion of next steps,5,Your ideas for next steps are very sensible.
Rokers,Response to questions,2,Some answers implied that some of your group did not fully understand what they had been doing.
Rokers,Advice on next steps,NA,We completely agree with your next-step plans. Go for it!
Jets,Slides given to workshop leader in good time,5,"Before the module even started, WOW"
