Identifier,SRN,Score,Component,Description
Participant 10735865,10557493,5,1,Abstract is clear and accurate
Participant 10735865,10557493,5,2,Abstract contains correct information
Participant 10735865,10557493,3,3,Introduction is clear and accurate
Participant 10735865,10557493,2,4,Introduction gives big-picture overview
Participant 10735865,10557493,3,5,Introduction outlines specific research area
Participant 10735865,10557493,4,6,Introduction gives rationale for current experiment
Participant 10735865,10557493,3,7,"Participant section is clear, accurate, and contain correct information"
Participant 10735865,10557493,2,8,Sample sizes are justified through a power calculation
Participant 10735865,10557493,1,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
Participant 10735865,10557493,2,10,"Procedure section is clear, accurate, and contain correct information."
Participant 10735865,10557493,3,11,"Result section is overall clear, accurate, and contain correct information"
Participant 10735865,10557493,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
Participant 10735865,10557493,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
Participant 10735865,10557493,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
Participant 10735865,10557493,5,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
Participant 10735865,10557493,3,17,Discussion correctly and clearly summarises findings
Participant 10735865,10557493,3,18,Discussion correctly interprets findings
Participant 10735865,10557493,2,19,Discussion makes appropriate links to previous literature
Participant 10735865,10557493,4,20,Discussion provides good considerations of the limitations of the current study
Participant 10735865,10557493,5,21,"Discussion makes a good, sensible suggestsion for future work"
Participant 10735865,10557493,2,22,Discussion concludes appropriately.
Participant 10735865,10557493,1,23,Overall clarity of writing
Participant 10735865,10557493,2,24,Overall quality of grammar and spelling
Participant 10735865,10557493,3,25,Correct formatting of sections and sub-sections
Participant 10735865,10557493,4,26,Correct usage of APA-formatted citations and references

